Feature,FeatureType,Coefficient,InputColumn,Median,Mean,Scale,CategoryColumn,CategoryValue,KeywordTag,Items,Order,Support,AbsCoefficient
SP_Advance,numeric,-0.04672524529889499,SP_Advance,1.0,1.192393736017897,0.3998157816915455,,,,,,,0.04672524529889499
SP_Sprint,numeric,0.23771166456383536,SP_Sprint,2.0,2.221476510067114,0.5851897443737876,,,,,,,0.23771166456383536
RA_Score,numeric,1.2150216192677843,RA_Score,4.0,4.257270693512305,0.6228567192545554,,,,,,,1.2150216192677843
FI_Score,numeric,0.9531309485019713,FI_Score,4.0,4.2774049217002235,0.8482140596995394,,,,,,,0.9531309485019713
SV_Score,numeric,1.350212007008715,SV_Score,4.0,4.3467561521252795,0.7003559280800206,,,,,,,1.350212007008715
AR,numeric,0.8275383094579882,AR,1.0,1.2102908277404922,0.5719636535760525,,,,,,,0.8275383094579882
HP,numeric,1.331246539171159,HP,2.0,2.6308724832214767,1.0786663815612259,,,,,,,1.331246539171159
SZ,numeric,1.30365591409134,SZ,1.0,1.6756152125279642,0.9853106867773997,,,,,,,1.30365591409134
MaxRange,numeric,1.0410213382349325,MaxRange,4.0,3.9776286353467563,2.9017376134868806,,,,,,,1.0410213382349325
MaxAP,numeric,1.5226648190927146,MaxAP,0.0,0.8680089485458613,1.1422460388824915,,,,,,,1.5226648190927146
WeaponCount,numeric,-0.215035203045271,WeaponCount,1.0,1.563758389261745,0.6885657465063413,,,,,,,0.215035203045271
RangedWeaponCount,numeric,0.05047021739220986,RangedWeaponCount,1.0,0.9574944071588367,0.6278267507359314,,,,,,,0.05047021739220986
StrongRangedWeaponCount,numeric,0.16893498237362542,StrongRangedWeaponCount,0.0,0.46308724832214765,0.5698246121260456,,,,,,,0.16893498237362542
TacticianValue,numeric,0.43289228538939295,TacticianValue,0.0,0.36465324384787473,0.6546367424363247,,,,,,,0.43289228538939295
ReconScore,numeric,0.0,ReconScore,0.0,0.0,1.0,,,,,,,0.0
CommandValue,numeric,0.33197296398005033,CommandValue,0.0,0.3982102908277405,0.7435307392785054,,,,,,,0.33197296398005033
HasMelee,binary,0.04601397857775686,,,,,,,,,,,0.04601397857775686
HasRangedWeapon,binary,0.031311911662400944,,,,,,,,,,,0.031311911662400944
HasHeavyWeapon,binary,0.01861440369545649,,,,,,,,,,,0.01861440369545649
HasBlastOrFrag,binary,0.25034950994428806,,,,,,,,,,,0.25034950994428806
HasIndirect,binary,0.08093178898053417,,,,,,,,,,,0.08093178898053417
HasSuppression,binary,0.15106090028240912,,,,,,,,,,,0.15106090028240912
HasSniper,binary,0.0,,,,,,,,,,,0.0
HasRapidFire,binary,-0.17778865943531438,,,,,,,,,,,0.17778865943531438
HasWeightOfFire,binary,-0.009424723959838968,,,,,,,,,,,0.009424723959838968
FastMelee,binary,0.2774442464917543,,,,,,,,,,,0.2774442464917543
Durable,binary,0.6564833801334671,,,,,,,,,,,0.6564833801334671
ArmouredDurable,binary,0.19313222578876804,,,,,,,,,,,0.19313222578876804
LongRangeAP,binary,-0.2765657606962784,,,,,,,,,,,0.2765657606962784
FlyingShooter,binary,-0.034450761561335,,,,,,,,,,,0.034450761561335
SupportAura,binary,0.1083862190282575,,,,,,,,,,,0.1083862190282575
EliteAllRounder,binary,0.1277699158062326,,,,,,,,,,,0.1277699158062326
IsLeader,binary,0.1202531579502283,,,,,,,,,,,0.1202531579502283
IsLegend,binary,0.5308112586756536,,,,,,,,,,,0.5308112586756536
IsSupport,binary,0.2139047702981191,,,,,,,,,,,0.2139047702981191
IsSpecialist,binary,-0.27391560708881924,,,,,,,,,,,0.27391560708881924
IsTroop,binary,-0.5929190220314542,,,,,,,,,,,0.5929190220314542
HasTactician,binary,0.01068168256522514,,,,,,,,,,,0.01068168256522514
HasCommunicationsRelay,binary,-0.022685920426214853,,,,,,,,,,,0.022685920426214853
HasCombatTeamTraining,binary,-0.013869171778349782,,,,,,,,,,,0.013869171778349782
HasCommandKeyword,binary,0.01068168256522514,,,,,,,,,,,0.01068168256522514
HasSpecialOrder,binary,0.3105883490097093,,,,,,,,,,,0.3105883490097093
HasFireControl,binary,0.11407493729425659,,,,,,,,,,,0.11407493729425659
HasRampage,binary,-0.18482818850420168,,,,,,,,,,,0.18482818850420168
HasDuplicateRangedWeapon,binary,-0.001160833055017439,,,,,,,,,,,0.001160833055017439
FireControlMultiWeapon,binary,0.110775508610511,,,,,,,,,,,0.110775508610511
FireControlStrongMultiWeapon,binary,0.11664425924655229,,,,,,,,,,,0.11664425924655229
FireControlDuplicateRangedWeapon,binary,0.10598807318618347,,,,,,,,,,,0.10598807318618347
CommandSupport,binary,0.2130567305264538,,,,,,,,,,,0.2130567305264538
RoleCommandLeader,binary,0.32590785613497153,,,,,,,,,,,0.32590785613497153
RoleHeavySupport,binary,-0.030557156046749117,,,,,,,,,,,0.030557156046749117
NamedOrLegend,binary,0.5308112586756536,,,,,,,,,,,0.5308112586756536
SecretMissionTarget,binary,0.06024232115952809,,,,,,,,,,,0.06024232115952809
HasMobilityKeyword,binary,0.046011997476414136,,,,,,,,,,,0.046011997476414136
HasDropSuit,binary,0.13391805354210992,,,,,,,,,,,0.13391805354210992
HasDeploymentTrick,binary,0.18132069861774538,,,,,,,,,,,0.18132069861774538
MobileShooter,binary,-0.0034491970454107266,,,,,,,,,,,0.0034491970454107266
MobileMeleeThreat,binary,-0.17772688611282042,,,,,,,,,,,0.17772688611282042
RoleDeploymentSpecialist,binary,0.073702923166379,,,,,,,,,,,0.073702923166379
DeploymentMeleeThreat,binary,0.12077405613170464,,,,,,,,,,,0.12077405613170464
DeploymentShooter,binary,0.06621331119295538,,,,,,,,,,,0.06621331119295538
RampageMeleeOnly,binary,-0.028864133282664958,,,,,,,,,,,0.028864133282664958
RampageMobileMelee,binary,-0.07122606791773216,,,,,,,,,,,0.07122606791773216
RampageDurable,binary,-0.05868623075038852,,,,,,,,,,,0.05868623075038852
RampageEliteMelee,binary,0.046773293884412044,,,,,,,,,,,0.046773293884412044
FireControlLongRangeAP,binary,-0.028679362844223864,,,,,,,,,,,0.028679362844223864
FireControlSuppression,binary,0.018389262491029672,,,,,,,,,,,0.018389262491029672
FireControlRapidWeight,binary,0.029179164425702706,,,,,,,,,,,0.029179164425702706
IndirectBlastFrag,binary,0.1505095198225727,,,,,,,,,,,0.1505095198225727
IndirectSuppression,binary,0.017674940312679348,,,,,,,,,,,0.017674940312679348
TacticianDurable,binary,-0.006573516116709834,,,,,,,,,,,0.006573516116709834
SupportAuraDurable,binary,-0.026345970225822246,,,,,,,,,,,0.026345970225822246
KW_Aerial Deployment,keyword,-0.00025937002988757666,,,,,,,Aerial Deployment,,,,0.00025937002988757666
KW_Agile,keyword,-0.08464282323425724,,,,,,,Agile,,,,0.08464282323425724
KW_Augmented,keyword,-0.044250644051126865,,,,,,,Augmented,,,,0.044250644051126865
KW_BOOM!(3),keyword,-0.03418803469939132,,,,,,,BOOM!(3),,,,0.03418803469939132
KW_BOOM!(4),keyword,0.03342700189684635,,,,,,,BOOM!(4),,,,0.03342700189684635
KW_BOOM!(5),keyword,0.18688741512290322,,,,,,,BOOM!(5),,,,0.18688741512290322
KW_Beast,keyword,-0.17609386206805308,,,,,,,Beast,,,,0.17609386206805308
KW_Bike,keyword,-0.015938880439923548,,,,,,,Bike,,,,0.015938880439923548
KW_Blast,keyword,-0.35742742359657387,,,,,,,Blast,,,,0.35742742359657387
KW_Charged,keyword,0.4142851479630607,,,,,,,Charged,,,,0.4142851479630607
KW_Cloaking Device,keyword,0.12226219435303629,,,,,,,Cloaking Device,,,,0.12226219435303629
KW_Combat Team Training,keyword,-0.013869171778349782,,,,,,,Combat Team Training,,,,0.013869171778349782
KW_Comm-link,keyword,-0.11747561322134416,,,,,,,Comm-link,,,,0.11747561322134416
KW_Communications Relay,keyword,-0.022685920426214853,,,,,,,Communications Relay,,,,0.022685920426214853
KW_Companion,keyword,-0.057290587239557725,,,,,,,Companion,,,,0.057290587239557725
KW_Construct,keyword,0.00046774962551073516,,,,,,,Construct,,,,0.00046774962551073516
KW_Defence Cloud,keyword,0.02489616462048059,,,,,,,Defence Cloud,,,,0.02489616462048059
KW_Defender,keyword,0.03553772179573574,,,,,,,Defender,,,,0.03553772179573574
KW_Defender Shield,keyword,0.34150053972824596,,,,,,,Defender Shield,,,,0.34150053972824596
KW_Dismantle,keyword,-0.0028144802633450383,,,,,,,Dismantle,,,,0.0028144802633450383
KW_Drop Suit,keyword,0.13391805354210992,,,,,,,Drop Suit,,,,0.13391805354210992
KW_Elusive(1),keyword,0.1932469872153994,,,,,,,Elusive(1),,,,0.1932469872153994
KW_Elusive(2),keyword,0.054917261849381435,,,,,,,Elusive(2),,,,0.054917261849381435
KW_Energy Shield(1),keyword,-0.00046901951368400824,,,,,,,Energy Shield(1),,,,0.00046901951368400824
KW_Energy Shield(2),keyword,0.0365335129246068,,,,,,,Energy Shield(2),,,,0.0365335129246068
KW_Energy Shield(3),keyword,0.4022528884309761,,,,,,,Energy Shield(3),,,,0.4022528884309761
KW_Energy Shield(4),keyword,0.04614029159348946,,,,,,,Energy Shield(4),,,,0.04614029159348946
KW_Engineer,keyword,-0.08766705165283765,,,,,,,Engineer,,,,0.08766705165283765
KW_Evade,keyword,0.3048340640195823,,,,,,,Evade,,,,0.3048340640195823
KW_Explosive,keyword,-0.026998447701576715,,,,,,,Explosive,,,,0.026998447701576715
KW_Explosive((Blast)),keyword,-0.11424680516211246,,,,,,,Explosive((Blast)),,,,0.11424680516211246
KW_Explosive(blast),keyword,-0.9151483499773584,,,,,,,Explosive(blast),,,,0.9151483499773584
KW_Faithful,keyword,-0.25634633413341923,,,,,,,Faithful,,,,0.25634633413341923
KW_Fire Control,keyword,0.14890247881993987,,,,,,,Fire Control,,,,0.14890247881993987
