Feature,FeatureType,Coefficient,InputColumn,Median,Mean,Scale,CategoryColumn,CategoryValue,AbsCoefficient
BasePrediction,numeric,0.01594803735027826,BasePrediction,20.041208146972707,21.59401709401706,9.481822985064426,,,0.01594803735027826
LogBasePrediction,numeric,-0.014734998156078968,LogBasePrediction,2.9977905596341383,2.9726022834563195,0.457246891891349,,,0.014734998156078968
KeywordCount,numeric,-0.002250045257298371,KeywordCount,4.0,4.397435897435898,2.113285671971716,,,0.002250045257298371
ModelKeywordCount,numeric,0.0030969564379045656,ModelKeywordCount,2.0,2.4615384615384617,1.4099067165509251,,,0.0030969564379045656
WeaponKeywordCount,numeric,0.0036998734640163386,WeaponKeywordCount,2.0,1.7414529914529915,1.2656843457887959,,,0.0036998734640163386
StatQuality,numeric,-0.001144829980972191,StatQuality,20.0,20.608974358974358,3.4279651547101007,,,0.001144829980972191
CombatQuality,numeric,-0.0010324432550456323,CombatQuality,20.5,20.762820512820515,5.506537116833628,,,0.0010324432550456323
RA_Score,numeric,-0.00011309259694737128,RA_Score,4.0,3.77991452991453,1.5221520953051548,,,0.00011309259694737128
FI_Score,numeric,-0.0009701753738938345,FI_Score,4.0,4.032051282051282,1.3045934877617327,,,0.0009701753738938345
SV_Score,numeric,-0.0026347155065877836,SV_Score,4.0,4.367521367521367,0.7022344142950785,,,0.0026347155065877836
SP_Advance,numeric,0.0007758332205651463,SP_Advance,1.0,1.1837606837606838,0.3927673600720839,,,0.0007758332205651463
SP_Sprint,numeric,2.3250887422070557e-05,SP_Sprint,2.0,2.2094017094017095,0.5763846807194116,,,2.3250887422070557e-05
AR,numeric,0.0013288062795091334,AR,1.0,0.7777777777777778,0.863417094353831,,,0.0013288062795091334
HP,numeric,-0.0012722721385701134,HP,2.0,2.6025641025641026,1.0602339314889921,,,0.0012722721385701134
SZ,numeric,-0.0007751205727740615,SZ,1.0,1.6559829059829059,0.9714000468343852,,,0.0007751205727740615
MaxRange,numeric,-0.00023674800504841801,MaxRange,4.0,3.9188034188034186,2.8715055053645187,,,0.00023674800504841801
MaxAP,numeric,0.00039534541297460597,MaxAP,0.0,0.8418803418803419,1.1287796387521445,,,0.00039534541297460597
WeaponCount,numeric,-0.0038398215286894613,WeaponCount,1.0,1.5,0.6520841013348472,,,0.0038398215286894613
RangedWeaponCount,numeric,0.0035809416101093517,RangedWeaponCount,1.0,0.9209401709401709,0.5848419801276485,,,0.0035809416101093517
StrongRangedWeaponCount,numeric,-0.003594409668730608,StrongRangedWeaponCount,0.0,0.4423076923076923,0.5458513065984063,,,0.003594409668730608
PredLT7,binary,0.03579842286951119,,,,,,,0.03579842286951119
PredLT8,binary,0.01344441076195328,,,,,,,0.01344441076195328
PredLT9,binary,-0.00964440515505316,,,,,,,0.00964440515505316
PredLT10,binary,-0.011261464460975897,,,,,,,0.011261464460975897
PredLT11,binary,-0.02430838840776239,,,,,,,0.02430838840776239
PredGE13,binary,0.008813081037081826,,,,,,,0.008813081037081826
PredGE16,binary,0.004719337135976789,,,,,,,0.004719337135976789
PredGE20,binary,0.008391054924169847,,,,,,,0.008391054924169847
SimpleProfile,binary,-0.00048550625074670153,,,,,,,0.00048550625074670153
ComplexProfile,binary,-0.001895895238976938,,,,,,,0.001895895238976938
CheapSimpleTroop,binary,-0.0061811541609907055,,,,,,,0.0061811541609907055
HighCostTroop,binary,-0.00030652066637617994,,,,,,,0.00030652066637617994
Role_Leader,categorical,-0.004561426315021888,,,,,Role,Leader,0.004561426315021888
Role_Legend,categorical,-0.004172550561798743,,,,,Role,Legend,0.004172550561798743
Role_Specialist,categorical,0.0013960296657244708,,,,,Role,Specialist,0.0013960296657244708
Role_Support,categorical,-0.0030215670110621973,,,,,Role,Support,0.0030215670110621973
Role_Troop,categorical,0.010359514222158358,,,,,Role,Troop,0.010359514222158358
BaseSize_25mm,categorical,0.0031896070595425715,,,,,BaseSize,25mm,0.0031896070595425715
BaseSize_40mm,categorical,-0.0005204502171667464,,,,,BaseSize,40mm,0.0005204502171667464
BaseSize_50mm,categorical,0.0009419003344989779,,,,,BaseSize,50mm,0.0009419003344989779
BaseSize_60mm,categorical,-0.0036110571768747947,,,,,BaseSize,60mm,0.0036110571768747947
