Feature,FeatureType,Coefficient,InputColumn,Median,Mean,Scale,CategoryColumn,CategoryValue,AbsCoefficient
BasePrediction,numeric,0.00572961162338896,BasePrediction,22.017011972610277,23.08212044770089,8.62459801040414,,,0.00572961162338896
LogBasePrediction,numeric,0.02130864771030811,LogBasePrediction,3.091815381508897,3.0654302600845886,0.3940048094222274,,,0.02130864771030811
KeywordCount,numeric,-0.01711811945699229,KeywordCount,4.0,4.665966386554622,2.114652424967743,,,0.01711811945699229
ModelKeywordCount,numeric,-0.01192970527767974,ModelKeywordCount,3.0,2.8018207282913163,1.5603892501934757,,,0.01192970527767974
WeaponKeywordCount,numeric,-0.009681599970491324,WeaponKeywordCount,1.0,1.6372549019607843,1.2270578208908105,,,0.009681599970491324
StatQuality,numeric,-0.01664892495414056,StatQuality,21.0,21.306022408963585,3.089612601526127,,,0.01664892495414056
CombatQuality,numeric,-0.02048047025293766,CombatQuality,22.0,22.223389355742295,4.853724406381968,,,0.02048047025293766
RA_Score,numeric,-0.06413913691071522,RA_Score,5.0,4.44187675070028,1.2098382216745907,,,0.06413913691071522
FI_Score,numeric,-0.004937698527925599,FI_Score,4.0,4.1120448179271705,1.471501650435721,,,0.004937698527925599
SV_Score,numeric,0.031936245687407765,SV_Score,5.0,4.612745098039215,0.7553951788312268,,,0.031936245687407765
SP_Advance,numeric,0.024886232272946375,SP_Advance,1.0,1.199579831932773,0.4333115820056647,,,0.024886232272946375
SP_Sprint,numeric,0.009595092947128347,SP_Sprint,2.0,2.2149859943977592,0.5657097496174575,,,0.009595092947128347
AR,numeric,-0.021913194876811155,AR,1.0,0.9124649859943977,0.7189210146077298,,,0.021913194876811155
HP,numeric,0.006623409928247115,HP,2.0,2.369747899159664,0.9192818980888559,,,0.006623409928247115
SZ,numeric,0.0035238677571037473,SZ,1.0,1.442577030812325,0.7815678223116511,,,0.0035238677571037473
MaxRange,numeric,-0.01689015175522229,MaxRange,4.0,4.464985994397759,2.7522907825345366,,,0.01689015175522229
MaxAP,numeric,-0.006077464084373909,MaxAP,1.0,0.8949579831932774,1.065844734581256,,,0.006077464084373909
WeaponCount,numeric,0.012671355939120478,WeaponCount,2.0,1.7030812324929971,0.746657557925616,,,0.012671355939120478
RangedWeaponCount,numeric,0.004845033211440615,RangedWeaponCount,1.0,1.0273109243697478,0.533168002614852,,,0.004845033211440615
StrongRangedWeaponCount,numeric,0.04546999564622942,StrongRangedWeaponCount,0.0,0.41456582633053224,0.5269867242840716,,,0.04546999564622942
ContinuousPrediction,numeric,0.00572961162338896,ContinuousPrediction,22.017011972610277,23.08212044770089,8.62459801040414,,,0.00572961162338896
LowerInteger,numeric,-0.009259643518455901,LowerInteger,22.0,22.576330532212886,8.650572752365576,,,0.009259643518455901
UpperInteger,numeric,-0.008286673252343708,UpperInteger,23.0,23.571428571428573,8.657330983155303,,,0.008286673252343708
FractionalPart,numeric,0.3863594503527233,FractionalPart,0.49765479083072517,0.5057899154880005,0.3352236286872252,,,0.3863594503527233
DistanceToLower,numeric,0.3863594503527233,DistanceToLower,0.49765479083072517,0.5057899154880005,0.3352236286872252,,,0.3863594503527233
DistanceToUpper,numeric,-0.3615486393008965,DistanceToUpper,0.49167017310108285,0.4893081237276859,0.33510310075164385,,,0.3615486393008965
PredLT7,binary,-0.0021896663181024158,,,,,,,0.0021896663181024158
PredLT8,binary,0.00042142962413634907,,,,,,,0.00042142962413634907
PredLT9,binary,-0.005069814221082255,,,,,,,0.005069814221082255
PredLT10,binary,-0.0075838158017180165,,,,,,,0.0075838158017180165
PredLT11,binary,-0.006851629874918035,,,,,,,0.006851629874918035
PredGE13,binary,-0.0016475466652494327,,,,,,,0.0016475466652494327
PredGE16,binary,-0.005696423429178684,,,,,,,0.005696423429178684
PredGE20,binary,0.006896538442144762,,,,,,,0.006896538442144762
SimpleProfile,binary,-0.0020067680789036565,,,,,,,0.0020067680789036565
ComplexProfile,binary,0.0054692359382430816,,,,,,,0.0054692359382430816
CheapSimpleTroop,binary,-0.00807437953233618,,,,,,,0.00807437953233618
HighCostTroop,binary,-0.0068927073927797355,,,,,,,0.0068927073927797355
Role_Leader,categorical,-0.005103894203349404,,,,,Role,Leader,0.005103894203349404
Role_Legend,categorical,0.01051037955042423,,,,,Role,Legend,0.01051037955042423
Role_Specialist,categorical,0.004038805182223501,,,,,Role,Specialist,0.004038805182223501
Role_Support,categorical,-0.006404120194005486,,,,,Role,Support,0.006404120194005486
Role_Troop,categorical,-0.003036403095024338,,,,,Role,Troop,0.003036403095024338
