Feature,FeatureType,Coefficient,InputColumn,Median,Mean,Scale,CategoryColumn,CategoryValue,AbsCoefficient
SP_Advance,numeric,0.012054536260034632,SP_Advance,1.0,1.1837606837606838,0.3927673600720839,,,0.012054536260034632
SP_Sprint,numeric,0.0007514190930594626,SP_Sprint,2.0,2.2094017094017095,0.5763846807194116,,,0.0007514190930594626
RA_Score,numeric,0.02947200365508649,RA_Score,4.0,4.2585470085470085,0.6196839075093801,,,0.02947200365508649
FI_Score,numeric,0.051154525821775286,FI_Score,4.0,4.262820512820513,0.8431132236866484,,,0.051154525821775286
SV_Score,numeric,0.07203457031032484,SV_Score,4.0,4.367521367521367,0.7022344142950785,,,0.07203457031032484
AR,numeric,0.07980037393011859,AR,1.0,1.2094017094017093,0.5651537731870019,,,0.07980037393011859
HP,numeric,0.10816365042166515,HP,2.0,2.6025641025641026,1.0602339314889921,,,0.10816365042166515
SZ,numeric,0.05108045662901291,SZ,1.0,1.6559829059829059,0.9714000468343852,,,0.05108045662901291
MaxRange,numeric,0.09837994083445406,MaxRange,4.0,3.9188034188034186,2.8715055053645187,,,0.09837994083445406
MaxAP,numeric,0.04087821073754706,MaxAP,0.0,0.8418803418803419,1.1287796387521445,,,0.04087821073754706
WeaponCount,numeric,-0.01681646544168444,WeaponCount,1.0,1.5,0.6520841013348472,,,0.01681646544168444
RangedWeaponCount,numeric,0.016264302017497616,RangedWeaponCount,1.0,0.9209401709401709,0.5848419801276485,,,0.016264302017497616
StrongRangedWeaponCount,numeric,-0.006702806625176038,StrongRangedWeaponCount,0.0,0.4423076923076923,0.5458513065984063,,,0.006702806625176038
TacticianValue,numeric,0.013895761914842743,TacticianValue,0.0,0.36324786324786323,0.6573838710741432,,,0.013895761914842743
ReconScore,numeric,0.0,ReconScore,0.0,0.0,1.0,,,0.0
CommandValue,numeric,0.006157626843454521,CommandValue,0.0,0.3952991452991453,0.7422961289072728,,,0.006157626843454521
PredictedCostForVP,numeric,0.16758534063647243,PredictedCostForVP,20.0,21.583333333333332,9.537795934179515,,,0.16758534063647243
PredictedCostContinuousForVP,numeric,0.1660755274459022,PredictedCostContinuousForVP,20.108156096077735,21.592583895895533,9.537704292205284,,,0.1660755274459022
LogPredictedCostForVP,numeric,0.1879601656352027,LogPredictedCostForVP,3.0011254989288614,2.9711546217914577,0.4604463761028377,,,0.1879601656352027
KeywordCountForVP,numeric,0.02578611038418945,KeywordCountForVP,4.0,4.397435897435898,2.113285671971716,,,0.02578611038418945
HasMelee,binary,-0.022398090566517516,,,,,,,0.022398090566517516
HasRangedWeapon,binary,0.019805208122725963,,,,,,,0.019805208122725963
HasHeavyWeapon,binary,0.011529267221233954,,,,,,,0.011529267221233954
HasBlastOrFrag,binary,0.026695214204160267,,,,,,,0.026695214204160267
HasIndirect,binary,0.01585993077556406,,,,,,,0.01585993077556406
HasSuppression,binary,-0.0015438642764682223,,,,,,,0.0015438642764682223
HasSniper,binary,0.0,,,,,,,0.0
HasRapidFire,binary,-0.001841021234491445,,,,,,,0.001841021234491445
HasWeightOfFire,binary,-0.01404571480920192,,,,,,,0.01404571480920192
FastMelee,binary,0.010193944461710909,,,,,,,0.010193944461710909
Durable,binary,0.02231146414442964,,,,,,,0.02231146414442964
ArmouredDurable,binary,0.02460428638816483,,,,,,,0.02460428638816483
LongRangeAP,binary,-0.0028298424885903244,,,,,,,0.0028298424885903244
FlyingShooter,binary,0.0069353816416558075,,,,,,,0.0069353816416558075
SupportAura,binary,-0.018387161837873405,,,,,,,0.018387161837873405
EliteAllRounder,binary,-0.003623145540707814,,,,,,,0.003623145540707814
IsLeader,binary,-0.0015466445707759881,,,,,,,0.0015466445707759881
IsLegend,binary,0.02548009891180034,,,,,,,0.02548009891180034
IsSupport,binary,0.010490724994475651,,,,,,,0.010490724994475651
IsSpecialist,binary,-0.005667350049565626,,,,,,,0.005667350049565626
IsTroop,binary,-0.028756829285934385,,,,,,,0.028756829285934385
HasTactician,binary,0.008075905451853686,,,,,,,0.008075905451853686
HasCommunicationsRelay,binary,0.00039797066221048413,,,,,,,0.00039797066221048413
HasCombatTeamTraining,binary,-0.0049620378521626415,,,,,,,0.0049620378521626415
HasCommandKeyword,binary,0.008075905451853686,,,,,,,0.008075905451853686
HasSpecialOrder,binary,0.0023480357834057683,,,,,,,0.0023480357834057683
HasFireControl,binary,0.008505650321587729,,,,,,,0.008505650321587729
HasRampage,binary,0.007298288658189279,,,,,,,0.007298288658189279
HasDuplicateRangedWeapon,binary,0.003869310915726895,,,,,,,0.003869310915726895
FireControlMultiWeapon,binary,-0.0029250084959219842,,,,,,,0.0029250084959219842
FireControlStrongMultiWeapon,binary,0.0002955728535626271,,,,,,,0.0002955728535626271
FireControlDuplicateRangedWeapon,binary,0.0008317472636828752,,,,,,,0.0008317472636828752
CommandSupport,binary,0.013250616736979024,,,,,,,0.013250616736979024
RoleCommandLeader,binary,0.010299624152036514,,,,,,,0.010299624152036514
RoleHeavySupport,binary,0.008732796696018051,,,,,,,0.008732796696018051
NamedOrLegend,binary,0.02548009891180034,,,,,,,0.02548009891180034
SecretMissionTarget,binary,0.003276730374134026,,,,,,,0.003276730374134026
HasMobilityKeyword,binary,0.019621095829362285,,,,,,,0.019621095829362285
HasDropSuit,binary,-0.009420758928201965,,,,,,,0.009420758928201965
HasDeploymentTrick,binary,-0.007980114725243782,,,,,,,0.007980114725243782
MobileShooter,binary,-0.030097458389845132,,,,,,,0.030097458389845132
MobileMeleeThreat,binary,-0.017165957479914947,,,,,,,0.017165957479914947
RoleDeploymentSpecialist,binary,0.001292797091391731,,,,,,,0.001292797091391731
DeploymentMeleeThreat,binary,-0.004259235340160856,,,,,,,0.004259235340160856
DeploymentShooter,binary,-0.006448207682244817,,,,,,,0.006448207682244817
